frame,iteration,mean_squared_assignment_error,mean_nearest_target_error,max_abs_statistic_difference
0,0,2127.4153929548993,44.92603724576127,0.0
1,5000,2129.0033994100068,41.656274021806,0.004444043215197979
2,10000,2127.3392278001015,38.00214282772252,0.003588575258694743
3,15000,2127.0846766020404,35.02066123922587,0.006706593914401537
4,20000,2127.1882850290535,31.868884905730983,0.005335210525281298
5,25000,2128.8709091347973,28.913441939647598,0.004614730376428081
6,30000,2128.9670605683023,26.12738675360038,0.00608560111069778
7,35000,2126.832927960672,23.807218420924563,0.004620392232997261
8,40000,2129.006701954626,21.3055616551642,0.005943800115112197
9,45000,2128.442665210311,18.871089205652837,0.004952369027021425
10,50000,2127.9274376158046,16.888118679570002,0.004807152785997193
11,55000,2127.657755151603,14.92908149325902,0.007024774682577117
12,60000,2126.7678388523823,12.903735723996746,0.0046578415363356385
13,65000,2126.500243117556,11.208353702188049,0.0036206920015793287
14,70000,2126.254475966624,9.798990079579271,0.007695987709503527
15,75000,2125.2782651783236,8.392079167194352,0.004247004740790317
16,80000,2124.7382577261606,7.206507814674234,0.004211358557295597
17,85000,2122.6211281432375,6.147301395147791,0.0046312669689001495
18,90000,2124.525511696274,5.375929726234196,0.0062985602572567245
19,95000,2126.7666043841186,4.604729944349648,0.0063645767553879296
20,100000,2125.9604295255044,3.9956301396693426,0.006463779538918857
