frame,iteration,mean_squared_assignment_error,mean_nearest_target_error,max_abs_statistic_difference
0,0,1836.6791575484915,45.17805032078573,0.0
1,5000,1840.2759813340947,39.78712484522241,0.003956099827171045
2,10000,1841.2578750831713,34.809425289284164,0.0032979309799294754
3,15000,1839.478500302448,29.761344490633697,0.004978513187680278
4,20000,1837.0151159935492,24.868777433770187,0.007172908995748628
5,25000,1834.042644181587,20.798336604081783,0.006001988926492174
6,30000,1835.6010741739165,17.25619259661536,0.0063584299131704825
7,35000,1836.3657514374875,14.558176412155538,0.004460557254503783
8,40000,1834.359255085935,11.576822812537234,0.00492701021633124
9,45000,1835.1364665707108,9.229526171193966,0.005333113339794693
10,50000,1835.6675544409445,7.145933604959198,0.007450492558554345
11,55000,1837.594153819631,5.483718919951883,0.005049910919304068
12,60000,1836.4341991130266,4.535254367436739,0.007578662561002147
13,65000,1842.6322722874243,3.7693328891698434,0.0038653688526420205
14,70000,1841.7402640339728,3.0496778369329083,0.005673734799977126
15,75000,1841.455023603741,2.7536367360635468,0.005970776396310384
16,80000,1842.7242059805976,2.4202410392070917,0.003329798716791288
17,85000,1842.9467704182305,2.352911808334685,0.004990150714299091
18,90000,1846.2123124407622,2.2147954460078605,0.004986241414940196
19,95000,1845.647590120375,2.287232800414612,0.0077127748784988626
20,100000,1844.236471569852,2.224612818636664,0.006424347293751964
