frame,iteration,mean_squared_assignment_error,mean_nearest_target_error,max_abs_statistic_difference
0,0,1925.5304272409805,10.962502492652195,0.0
1,5000,1925.3923948467013,10.353522075685545,0.00735756814088262
2,10000,1924.7064289832238,9.843447462726441,0.0033532025438987034
3,15000,1925.0663369551926,9.314675107534718,0.005191321899388868
4,20000,1925.2675715971707,8.82734375550101,0.006049429922306615
5,25000,1925.8263294802885,8.473685208207883,0.006644849358742988
6,30000,1924.878249705904,8.076621649048201,0.006757852457035085
7,35000,1924.5801675526764,7.740002940874688,0.006172213602400944
8,40000,1925.1850958498937,7.405908004967464,0.007562942896100822
9,45000,1926.069450528869,7.051272450149225,0.00725800383627373
10,50000,1925.9528625507144,6.767821856883086,0.00479328757862163
11,55000,1925.3747341476683,6.4287883643246095,0.007054108334145326
12,60000,1924.6641960729276,6.1593413934555885,0.0070401236777648535
13,65000,1924.0580417317622,5.856609512076461,0.007540071828692874
14,70000,1925.5344609198653,5.623915010503093,0.006475549432373384
15,75000,1925.2509426562797,5.357819582037642,0.007560690826174721
16,80000,1924.7296842783157,5.172533720090424,0.007485965089845337
17,85000,1926.1042062326885,4.962155750354802,0.0074426904083289
18,90000,1926.6606962631538,4.720607806697279,0.0069447611334183534
19,95000,1927.5586609899667,4.527246742156982,0.007191355881197126
20,100000,1927.9432572292542,4.327097570596169,0.002589508519829309
