point_id,x,y
0,55.42313096512139,97.4828040092558
1,51.540673436265045,96.3126633789546
2,46.10507138337179,94.75202052289671
3,42.74026139898844,91.6477208068437
4,40.66957027578752,88.54626622314032
5,38.59887915258661,85.05784480194322
6,35.492892940439745,80.01869620378422
7,32.90455427276586,77.69029891021103
8,28.763272971673018,74.5842317298061
9,25.916009586453658,71.48111009354147
10,22.810023374306784,66.44196149538247
11,22.033552057597312,61.795182999122716
12,22.033552057597312,57.150171967214874
13,23.068847146543277,52.894585033506885
14,25.65718581421717,50.96503877423619
15,29.280920516146,50.973287400770914
16,32.64573050052937,50.98094664274211
17,35.23406916820325,51.37400654099556
18,40.15192273131454,51.385200941450144
19,44.03448120547987,52.94230863902464
20,46.62281987315376,54.10950349540599
21,49.987629857537115,55.27836517456903
22,53.09361606968399,55.6725027408202
23,56.71735077161282,56.067818846418874
24,59.305689439286716,58.00914866092812
25,61.376380562487626,62.27180568182334
26,61.635204334724115,66.5303383894512
27,61.894028106960604,69.24050053925303
28,57.49382208832229,55.29545135264289
29,54.90548342064841,49.87041358498788
30,52.57596852521101,45.99423488837264
31,48.1757625065727,38.24256729149634
32,49.469982313064136,42.116389368975696
33,51.02292494648308,44.0553623345695
34,45.32860006666232,36.300748963773344
35,42.74026139898844,32.423981112374136
36,38.59887915258661,31.253351739079616
37,34.975245395966766,30.08380026356238
38,32.38690672829287,32.01334652283307
39,29.798568060618983,36.65246577712163
40,33.42220181723883,41.305725205784626
41,36.52828897469469,45.57063843402507
42,38.08123160811363,49.057981957444895
43,29.539744288382494,35.87764102263954
44,29.539744288382494,32.00686559042982
45,29.798568060618983,28.910814271131976
46,31.86925918381989,26.59302222322939
47,35.75171671267623,25.053489216942513
48,40.92839404802401,25.06527277218107
49,44.03448120547987,25.459410568211798
50,47.14046741762674,28.563221771051058
51,49.469982313064136,31.278097388904232
52,51.540673436265045,34.76651881010133
53,53.61126361415697,37.48080504339098
54,55.1643071928849,40.580980675956184
55,56.71735077161282,42.13288639226559
56,59.305689439286716,44.46128368583879
57,62.41167565143358,46.01662368928181
58,65.00001431910746,46.7967510665992
59,68.10600053125435,47.96502359097828
60,70.69433919892823,53.77722947926746
61,71.72973523318318,60.74700223447444
62,71.72973523318318,64.61787830825438
63,69.65904410998228,69.64524335117483
64,46.88164364539025,80.04462016317677
65,48.1757625065727,84.30550948994053
66,49.987629857537115,85.47083624039973
67,53.09361606968399,85.47790632758696
68,55.42313096512139,86.25734390855015
69,56.71735077161282,86.26028991224958
70,56.199602281830856,83.16247089882026
71,53.87018833170245,80.8346629898106
72,51.281849664028556,78.89343381687158
73,49.987629857537115,78.89048781317216
74,47.91693873433621,77.72447126635875
75,29.539744288382494,59.87683114030661
76,29.539744288382494,62.19933665626053
77,31.09278786711042,62.58993929380787
78,58.01146963279528,99.811201302829
79,61.894028106960604,99.43297160508374
80,65.00001431910746,97.89167113444495
